time;dz;Bias;T-B;Topo
173696;460937500;-66.5;-244870200;148831300
174284.8;462500000;-66.5;-245710000;150393800
174873.6;464062500;-66.5;-246590000;151956300
175462.4;465625000;-66.5;-247401100;153518800
176051.2;467187500;-66.5;-244522800;155081300
176640;468750000;-66.5;-181296300;156643800
177228.8;470312500;-66.5;-181285900;158206300
177817.6;471875000;-66.5;-181115000;159768800
178406.4;473437500;-66.5;-180898300;161331300
178995.2;475000000;-66.5;-180820100;162893800
179584;476562500;-66.5;-180844300;164456300
180172.8;478125000;-66.5;-180896200;166018800
180761.6;479687500;-66.5;-180850800;167581300
181350.4;481250000;-66.5;-180823100;169143800
181939.2;482812500;-66.5;-180805400;170706300
182528;484375000;-66.5;-180749900;172268800
183116.8;485937500;-66.5;-180761100;173831300
183705.6;487500000;-66.5;-180744100;175393800
184294.4;489062500;-66.5;-180776500;176956300
184883.2;490625000;-66.5;-180866300;178518800
185472;492187500;-66.5;-180926600;180081300
186060.8;493750000;-66.5;-180878600;181643800
186649.6;495312500;-66.5;-180869300;183206300
187238.4;496875000;-66.5;-180811400;184768800
187827.2;498437500;-66.5;-180927100;186331300
188416;500000000;-66.5;-181011400;187893800
189004.8;501562500;-66.5;-180944700;189456300
189593.6;503125000;-66.5;-180937900;191018800
190182.4;504687500;-66.5;-181029400;192581300
190771.2;506250000;-66.5;-181042100;194143800
191360;507812500;-66.5;-181003500;195706300
191948.8;509375000;-66.5;-181014700;197268800
192537.6;510937500;-66.5;-180968700;198831300
193126.4;512500000;-66.5;-180928500;200393800
193715.2;514062500;-66.5;-181035600;201956300
194304;515625000;-66.5;-181010400;203518800
194892.8;517187500;-66.5;-180989800;205081300
195481.6;518750000;-66.5;-180983100;206643800
196070.4;520312500;-66.5;-181023200;208206300
196659.2;521875000;-66.5;-180965500;209768800
197248;523437500;-66.5;-181119700;211331300
197836.8;525000000;-66.5;-181062700;212893800
198425.6;526562500;-66.5;-180993700;214456300
199014.4;528125000;-66.5;-181021800;216018800
199603.2;529687500;-66.5;-181045700;217581300
200192;531250000;-66.5;-181050100;219143800
200780.8;532812500;-66.5;-180999500;220706300
201369.6;534375000;-66.5;-181012400;222268800
201958.4;535937500;-66.5;-181091000;223831300
202547.2;537500000;-66.5;-181007500;225393800
203136;539062500;-66.5;-181003700;226956300
203724.8;540625000;-66.5;-180984400;228518800
204313.6;542187500;-66.5;-180962400;230081300
204902.4;543750000;-66.5;-180952600;231643800
205491.2;545312500;-66.5;-180912500;233206300
206080;546875000;-66.5;-181026900;234768800
206668.8;548437500;-66.5;-180969400;236331300
207257.6;550000000;-66.5;-180920700;237893800
207846.4;551562500;-66.5;-180981700;239456300
208435.2;553125000;-66.5;-180984100;241018800
209024;554687500;-66.5;-180928600;242581300
209612.8;556250000;-66.5;-180922900;244143800
210201.6;557812500;-66.5;-180971900;245706300
210790.4;559375100;-66.5;-180972600;247268800
211379.2;560937500;-66.5;-181019500;248831300
211968;562500000;-66.5;-180969100;250393800
212556.8;564062500;-66.5;-180876700;251956300
213145.6;565625000;-66.5;-180929100;253518800
213734.4;567187500;-66.5;-180892200;255081300
214323.2;568750000;-66.5;-180906300;256643800
214912;570312500;-66.5;-180874200;258206300
215500.8;571875000;-66.5;-180821400;259768800
216089.6;573437500;-66.5;-180824800;261331300
216678.4;575000000;-66.5;-180758300;262893800
217267.2;576562500;-66.5;-180824000;264456300
217856;578125000;-66.5;-180794900;266018800
218444.8;579687500;-66.5;-180665000;267581300
219033.6;581250000;-66.5;-180591600;269143800
219622.4;582812500;-66.5;-180542600;270706300
220211.2;584375000;-66.5;-180567600;272268800
220800;585937500;-66.5;-180551000;273831300
221388.8;587500000;-66.5;-180515700;275393800
221977.6;589062600;-66.5;-180500900;276956300
222566.4;590625000;-66.5;-180479800;278518800
223155.2;592187500;-66.5;-180469800;280081300
223744;593750000;-66.5;-180444600;281643800
224332.8;595312500;-66.5;-180386700;283206300
224921.6;596875000;-66.5;-180347400;284768800
225510.4;598437500;-66.5;-180386800;286331300
226099.2;600000000;-66.5;-180380200;287893800
226688;601562500;-66.5;-180359800;289456300
227276.8;603125000;-66.5;-180282200;291018800
227865.6;604687500;-66.5;-180298000;292581300
228454.4;606250000;-66.5;-180341400;294143800
229043.2;607812500;-66.5;-180249000;295706300
229632;609375000;-66.5;-180223500;297268800
230220.8;610937500;-66.5;-180246700;298831300
230809.6;612500100;-66.5;-180160200;300393800
231398.4;614062500;-66.5;-180078100;301956300
231987.2;615625000;-66.5;-180134400;303518800
232576;617187500;-66.5;-180078200;305081300
233164.8;618750000;-66.5;-180061600;306643800
233753.6;620312500;-66.5;-180011300;308206300
234342.4;621875000;-66.5;-179980900;309768800
234931.2;623437500;-66.5;-180060800;311331300
235520;625000000;-66.5;-180095400;312893800
236108.8;626562500;-66.5;-180128300;314456300
236697.6;628125000;-66.5;-180081200;316018800
237286.4;629687500;-66.5;-180039100;317581300
237875.2;631250000;-66.5;-180032000;319143800
238464;632812500;-66.5;-180000300;320706300
239052.8;634375000;-66.5;-180003700;322268800
239641.6;635937600;-66.5;-179966900;323831300
240230.4;637500000;-66.5;-179961400;325393800
240819.2;639062500;-66.5;-179916600;326956300
241408;640625000;-66.5;-179920700;328518800
241996.8;642187600;-66.5;-179929100;330081300
242585.6;643750000;-66.5;-179938300;331643800
243174.4;645312500;-66.5;-179892000;333206300
243763.2;646875000;-66.5;-179857200;334768800
244352;648437500;-66.5;-179829700;336331300
244940.8;650000000;-66.5;-179846900;337893800
245529.6;651562500;-66.5;-179849500;339456300
246118.4;653125000;-66.5;-179858100;341018800
246707.2;654687500;-66.5;-179791700;342581300
247296;656250000;-66.5;-179698600;344143800
247884.8;657812500;-66.5;-179827500;345706300
248473.6;659375100;-66.5;-179842200;347268800
249062.4;660937500;-66.5;-179822000;348831300
249651.2;662500000;-66.5;-179786300;350393800
250240;664062500;-66.5;-179823100;351956300
250828.8;665625100;-66.5;-179749500;353518800
251417.6;667187500;-66.5;-179686200;355081300
252006.4;668750000;-66.5;-179702100;356643800
252595.2;670312500;-66.5;-179757400;358206300
253184;671875100;-66.5;-179725300;359768800
253772.8;673437500;-66.5;-179785100;361331300
254361.6;675000000;-66.5;-179762400;362893800
254950.4;676562500;-66.5;-179767500;364456300
255539.2;678125000;-66.5;-179734200;366018800
256128;679687500;-66.5;-179762100;367581300
256716.8;681250000;-66.5;-179753600;369143800
257305.6;682812500;-66.5;-179852400;370706300
257894.4;684375000;-66.5;-179825200;372268800
258483.2;685937500;-66.5;-179782600;373831300
259072;687500000;-66.5;-179900100;375393800
259660.8;689062600;-66.5;-179862800;376956300
260249.6;690625000;-66.5;-179909000;378518800
260838.4;692187500;-66.5;-179894700;380081300
261427.2;693750000;-66.5;-179841700;381643800
262016;695312600;-66.5;-179887300;383206300
262604.8;696875000;-66.5;-179913500;384768800
263193.6;698437500;-66.5;-179889900;386331300
263782.4;700000000;-66.5;-179902700;387893800
264371.2;701562500;-66.5;-179960700;389456300
264960;703125000;-66.5;-179928900;391018800
265548.8;704687500;-66.5;-179969300;392581300
266137.6;706250000;-66.5;-179930200;394143800
266726.4;707812500;-66.5;-179967600;395706300
267315.2;709375000;-66.5;-179934100;397268800
267904;710937500;-66.5;-179980800;398831300
268492.8;712500100;-66.5;-180043300;400393800
269081.6;714062500;-66.5;-179967200;401956300
269670.4;715625000;-66.5;-179998000;403518800
270259.2;717187500;-66.5;-179975600;405081300
270848;718750100;-66.5;-180027300;406643800
271436.8;720312500;-66.5;-180103700;408206300
272025.6;721875000;-66.5;-180064700;409768800
272614.4;723437500;-66.5;-180079500;411331300
273203.2;725000100;-66.5;-180141700;412893800
273792;726562500;-66.5;-180186900;414456300
274380.8;728125000;-66.5;-180175000;416018800
274969.6;729687500;-66.5;-180153900;417581300
275558.4;731250000;-66.5;-180223100;419143800
276147.2;732812500;-66.5;-180293700;420706300
276736;734375000;-66.5;-180259400;422268800
277324.8;735937600;-66.5;-180296300;423831300
277913.6;737500000;-66.5;-180287600;425393800
278502.4;739062500;-66.5;-180353500;426956300
279091.2;740625000;-66.5;-180378200;428518800
279680;742187600;-66.5;-180417900;430081300
280268.8;743750000;-66.5;-180453000;431643800
280857.6;745312500;-66.5;-180447800;433206300
281446.4;746875000;-66.5;-180430400;434768800
282035.2;748437600;-66.5;-180449000;436331300
282624;750000000;-66.5;-180470200;437893800
283212.8;751562500;-66.5;-180528500;439456300
283801.6;753125000;-66.5;-180437600;441018800
284390.4;754687600;-66.5;-180529100;442581300
284979.2;756250000;-66.5;-180574900;444143800
285568;757812500;-66.5;-180637300;445706300
286156.8;759375000;-66.5;-180633600;447268800
286745.6;760937500;-66.5;-180663100;448831300
287334.4;762500000;-66.5;-180581900;450393800
287923.2;764062500;-66.5;-180710700;451956300
288512;765625100;-66.5;-180792100;453518800
289100.8;767187500;-66.5;-180762500;455081300
289689.6;768750000;-66.5;-180783800;456643800
290278.4;770312500;-66.5;-180789100;458206300
290867.2;771875100;-66.5;-180769300;459768800
291456;773437500;-66.5;-180786300;461331300
292044.8;775000000;-66.5;-180779200;462893800
292633.6;776562500;-66.5;-180729500;464456300
293222.4;778125100;-66.5;-180723900;466018800
293811.2;779687500;-66.5;-180757600;467581300
294400;781250000;-66.5;-180816000;469143800
294988.8;782812500;-66.5;-180821100;470706300
295577.6;784375000;-66.5;-180853900;472268800
296166.4;785937500;-66.5;-180883800;473831300
296755.2;787500000;-66.5;-180832300;475393800
297344;789062600;-66.5;-180911100;476956300
297932.8;790625000;-66.5;-180837500;478518800
298521.6;792187500;-66.5;-180824000;480081300
299110.4;793750000;-66.5;-180921100;481643800
299699.2;795312600;-66.5;-180899000;483206300
300288;796875000;-66.5;-180881400;484768800
300876.8;798437500;-66.5;-180861100;486331300
301465.6;800000000;-66.5;-180849200;487893800
302054.4;798434500;-66.5;-180837700;486328300
302643.2;796868900;-66.5;-180886400;484762700
303232;795303400;-66.5;-180848700;483197100
303820.8;793737800;-66.5;-180882100;481631600
304409.6;792172300;-66.5;-180931100;480066000
304998.4;790606700;-66.5;-180931000;478500500
305587.2;789041100;-66.5;-180943100;476934900
306176;787475600;-66.5;-180892900;475369400
306764.8;785910000;-66.5;-180931900;473803800
307353.6;784344500;-66.5;-180872000;472238200
