GateI(1),GateV(1),DrainI(1),DrainV(1),GateI(2),GateV(2),DrainI(2),DrainV(2),GateI(3),GateV(3),DrainI(3),DrainV(3)
370.0846E-12,3.0800E+0,16.7061E-9,30.0000E-3,415.5050E-12,3.0800E+0,30.2274E-9,50.0000E-3,488.2619E-12,3.0800E+0,38.8292E-9,70.0000E-3
353.6826E-12,3.1200E+0,16.4108E-9,30.0000E-3,394.4769E-12,3.1200E+0,31.2197E-9,50.0000E-3,432.7479E-12,3.1200E+0,38.3204E-9,70.0000E-3
370.0846E-12,3.1600E+0,17.1063E-9,30.0000E-3,354.5237E-12,3.1600E+0,31.0907E-9,50.0000E-3,490.3646E-12,3.1600E+0,38.4172E-9,70.0000E-3
365.4583E-12,3.2000E+0,17.4525E-9,30.0000E-3,402.8881E-12,3.2000E+0,30.2668E-9,50.0000E-3,488.2619E-12,3.2000E+0,37.3306E-9,70.0000E-3
364.1967E-12,3.2400E+0,16.5584E-9,30.0000E-3,415.9256E-12,3.2400E+0,30.1477E-9,50.0000E-3,458.8226E-12,3.2400E+0,36.9677E-9,70.0000E-3
418.8695E-12,3.2800E+0,17.5938E-9,30.0000E-3,354.1032E-12,3.2800E+0,31.2310E-9,50.0000E-3,374.2902E-12,3.2800E+0,37.3069E-9,70.0000E-3
342.7481E-12,3.3200E+0,17.3262E-9,30.0000E-3,407.9348E-12,3.3200E+0,31.4710E-9,50.0000E-3,372.1872E-12,3.3200E+0,37.8709E-9,70.0000E-3
366.2994E-12,3.3600E+0,16.9773E-9,30.0000E-3,355.7856E-12,3.3600E+0,31.8743E-9,50.0000E-3,393.6358E-12,3.3600E+0,38.7442E-9,70.0000E-3
405.4115E-12,3.4000E+0,17.0616E-9,30.0000E-3,342.7481E-12,3.4000E+0,31.2578E-9,50.0000E-3,420.5517E-12,3.4000E+0,38.1449E-9,70.0000E-3
437.7947E-12,3.4400E+0,17.6497E-9,30.0000E-3,350.7388E-12,3.4400E+0,29.7705E-9,50.0000E-3,386.0656E-12,3.4400E+0,38.4069E-9,70.0000E-3
434.4302E-12,3.4800E+0,17.4397E-9,30.0000E-3,386.4864E-12,3.4800E+0,30.1587E-9,50.0000E-3,335.1779E-12,3.4800E+0,37.1856E-9,70.0000E-3
452.5142E-12,3.5200E+0,17.5256E-9,30.0000E-3,390.6919E-12,3.5200E+0,30.9809E-9,50.0000E-3,385.6453E-12,3.5200E+0,38.1566E-9,70.0000E-3
470.5982E-12,3.5600E+0,17.7708E-9,30.0000E-3,426.0191E-12,3.5600E+0,29.9530E-9,50.0000E-3,395.7388E-12,3.5600E+0,36.0543E-9,70.0000E-3
450.4115E-12,3.6000E+0,18.4641E-9,30.0000E-3,424.7573E-12,3.6000E+0,29.6204E-9,50.0000E-3,392.7949E-12,3.6000E+0,37.1618E-9,70.0000E-3
375.9724E-12,3.6400E+0,17.4935E-9,30.0000E-3,418.4489E-12,3.6400E+0,30.1428E-9,50.0000E-3,393.2152E-12,3.6400E+0,37.0625E-9,70.0000E-3
410.0377E-12,3.6800E+0,17.5565E-9,30.0000E-3,337.2809E-12,3.6800E+0,30.1314E-9,50.0000E-3,374.7105E-12,3.6800E+0,38.4294E-9,70.0000E-3
409.1966E-12,3.7200E+0,18.7592E-9,30.0000E-3,348.6360E-12,3.7200E+0,30.5855E-9,50.0000E-3,422.6545E-12,3.7200E+0,38.2079E-9,70.0000E-3
360.8323E-12,3.7600E+0,18.9623E-9,30.0000E-3,439.0563E-12,3.7600E+0,29.9654E-9,50.0000E-3,412.1405E-12,3.7600E+0,38.6993E-9,70.0000E-3
347.3744E-12,3.8000E+0,18.9435E-9,30.0000E-3,429.8040E-12,3.8000E+0,29.5951E-9,50.0000E-3,357.0473E-12,3.8000E+0,38.6591E-9,70.0000E-3
380.1779E-12,3.8400E+0,19.4367E-9,30.0000E-3,426.8601E-12,3.8400E+0,30.6044E-9,50.0000E-3,391.5330E-12,3.8400E+0,37.5467E-9,70.0000E-3
326.7668E-12,3.8800E+0,20.0411E-9,30.0000E-3,434.4302E-12,3.8800E+0,29.7092E-9,50.0000E-3,348.6360E-12,3.8800E+0,37.5101E-9,70.0000E-3
348.6360E-12,3.9200E+0,19.6288E-9,30.0000E-3,395.7388E-12,3.9200E+0,29.7186E-9,50.0000E-3,395.7388E-12,3.9200E+0,37.7129E-9,70.0000E-3
397.4208E-12,3.9600E+0,19.6337E-9,30.0000E-3,416.3461E-12,3.9600E+0,29.9557E-9,50.0000E-3,430.6451E-12,3.9600E+0,37.1078E-9,70.0000E-3
337.7012E-12,4.0000E+0,20.2413E-9,30.0000E-3,452.9349E-12,4.0000E+0,29.3851E-9,50.0000E-3,453.3554E-12,4.0000E+0,38.0482E-9,70.0000E-3
372.1872E-12,4.0400E+0,20.4920E-9,30.0000E-3,473.9629E-12,4.0400E+0,30.1974E-9,50.0000E-3,434.8507E-12,4.0400E+0,38.5564E-9,70.0000E-3
375.1313E-12,4.0800E+0,20.0072E-9,30.0000E-3,424.3367E-12,4.0800E+0,30.0827E-9,50.0000E-3,422.6545E-12,4.0800E+0,37.4777E-9,70.0000E-3
391.9536E-12,4.1200E+0,20.2106E-9,30.0000E-3,445.3649E-12,4.1200E+0,30.0519E-9,50.0000E-3,431.9068E-12,4.1200E+0,37.7101E-9,70.0000E-3
445.7853E-12,4.1600E+0,20.1676E-9,30.0000E-3,403.3088E-12,4.1600E+0,30.3852E-9,50.0000E-3,420.9724E-12,4.1600E+0,38.9960E-9,70.0000E-3
397.0004E-12,4.2000E+0,19.2876E-9,30.0000E-3,396.1591E-12,4.2000E+0,29.7562E-9,50.0000E-3,440.3181E-12,4.2000E+0,36.9677E-9,70.0000E-3
369.6639E-12,4.2400E+0,19.0705E-9,30.0000E-3,411.2993E-12,4.2400E+0,29.4453E-9,50.0000E-3,356.6265E-12,4.2400E+0,38.2055E-9,70.0000E-3
386.9070E-12,4.2800E+0,19.3951E-9,30.0000E-3,392.3741E-12,4.2800E+0,30.4393E-9,50.0000E-3,396.5799E-12,4.2800E+0,38.7409E-9,70.0000E-3
373.4488E-12,4.3200E+0,19.6165E-9,30.0000E-3,311.2062E-12,4.3200E+0,30.1461E-9,50.0000E-3,463.8694E-12,4.3200E+0,39.7151E-9,70.0000E-3
344.0097E-12,4.3600E+0,19.0868E-9,30.0000E-3,407.0938E-12,4.3600E+0,30.5782E-9,50.0000E-3,431.0658E-12,4.3600E+0,39.0897E-9,70.0000E-3
343.1686E-12,4.4000E+0,19.0785E-9,30.0000E-3,391.5330E-12,4.4000E+0,30.7905E-9,50.0000E-3,372.1872E-12,4.4000E+0,39.3507E-9,70.0000E-3
393.2152E-12,4.4400E+0,19.3061E-9,30.0000E-3,329.7107E-12,4.4400E+0,30.5891E-9,50.0000E-3,487.8413E-12,4.4400E+0,38.7311E-9,70.0000E-3
378.0751E-12,4.4800E+0,19.3824E-9,30.0000E-3,412.9815E-12,4.4800E+0,29.7347E-9,50.0000E-3,408.3555E-12,4.4800E+0,38.8945E-9,70.0000E-3
412.9815E-12,4.5200E+0,19.5756E-9,30.0000E-3,386.9070E-12,4.5200E+0,30.6651E-9,50.0000E-3,458.8226E-12,4.5200E+0,38.8804E-9,70.0000E-3
448.3087E-12,4.5600E+0,19.3508E-9,30.0000E-3,379.3368E-12,4.5600E+0,30.1666E-9,50.0000E-3,437.3740E-12,4.5600E+0,39.0998E-9,70.0000E-3
399.1032E-12,4.6000E+0,18.6514E-9,30.0000E-3,313.7295E-12,4.6000E+0,30.3164E-9,50.0000E-3,486.5797E-12,4.6000E+0,39.6294E-9,70.0000E-3
407.0938E-12,4.6400E+0,18.4926E-9,30.0000E-3,367.5611E-12,4.6400E+0,30.4366E-9,50.0000E-3,437.3740E-12,4.6400E+0,38.6798E-9,70.0000E-3
352.4210E-12,4.6800E+0,17.5820E-9,30.0000E-3,416.7666E-12,4.6800E+0,30.1186E-9,50.0000E-3,486.5797E-12,4.6800E+0,38.5268E-9,70.0000E-3
409.6172E-12,4.7200E+0,18.0058E-9,30.0000E-3,408.7760E-12,4.7200E+0,30.7872E-9,50.0000E-3,478.1684E-12,4.7200E+0,39.3938E-9,70.0000E-3
382.2807E-12,4.7600E+0,17.5696E-9,30.0000E-3,402.0471E-12,4.7600E+0,30.2640E-9,50.0000E-3,468.9161E-12,4.7600E+0,39.9971E-9,70.0000E-3
428.9630E-12,4.8000E+0,17.2807E-9,30.0000E-3,373.4488E-12,4.8000E+0,29.5629E-9,50.0000E-3,517.2806E-12,4.8000E+0,40.0336E-9,70.0000E-3
418.4489E-12,4.8400E+0,17.1423E-9,30.0000E-3,391.5330E-12,4.8400E+0,30.0754E-9,50.0000E-3,475.2245E-12,4.8400E+0,39.2393E-9,70.0000E-3
442.8414E-12,4.8800E+0,18.3240E-9,30.0000E-3,416.3461E-12,4.8800E+0,30.2174E-9,50.0000E-3,508.4487E-12,4.8800E+0,39.0940E-9,70.0000E-3
359.5706E-12,4.9200E+0,17.7325E-9,30.0000E-3,394.8974E-12,4.9200E+0,28.9609E-9,50.0000E-3,465.9723E-12,4.9200E+0,39.0456E-9,70.0000E-3
357.8882E-12,4.9600E+0,18.2223E-9,30.0000E-3,360.8323E-12,4.9600E+0,30.1038E-9,50.0000E-3,499.1965E-12,4.9600E+0,37.9648E-9,70.0000E-3
345.6921E-12,5.0000E+0,18.6191E-9,30.0000E-3,428.9630E-12,5.0000E+0,29.5768E-9,50.0000E-3,466.8134E-12,5.0000E+0,39.4994E-9,70.0000E-3
415.5050E-12,5.0400E+0,17.6256E-9,30.0000E-3,385.6453E-12,5.0400E+0,30.4600E-9,50.0000E-3,465.1310E-12,5.0400E+0,38.9443E-9,70.0000E-3
