G-peak omega	2D-peak omega
1585.240098	2717.699015	
1584.420389	2719.105755	
1581.897463	2719.264011	
1582.029163	2719.737697	
1591.096789	2720.937837	
1598.520359	2721.545828	
1592.281103	2720.986098	
1584.235619	2720.272751	
1583.697307	2721.720702	
1584.624592	2722.463494	
1587.152194	2725.619265	
1590.42894	2726.263029	
1472.264134	2725.509521	
1478.058189	2723.38239	
1580.982447	2719.342749	
1494.382165	2717.281187	
1577.512614	2718.454867	
1582.618338	2720.595874	
1583.456182	2721.103113	
1585.574484	2721.608387	
1583.25855	2719.833245	
1585.909115	2720.656479	
1581.661262	2718.828441	
1582.790916	2718.868668	
1473.62922	2720.454601	
1582.06317	2720.304094	
1582.465924	2719.702811	
1584.151675	2720.659757	
1582.570313	2720.103449	
1584.325021	2721.359127	
1583.445077	2721.71892	
1469.322045	2721.116518	
1586.466548	2721.961363	
1586.024677	2724.557157	
1583.748622	2724.550525	
1585.801064	2722.296555	
1585.926997	2720.736157	
1585.61992	2721.489666	
1584.212236	2720.503097	
1585.44424	2717.285148	
1585.031137	2721.59574	
1585.12289	2721.029298	
1582.324751	2720.656919	
1577.525648	2720.729844	
1583.7695	2720.743186	
1583.189603	2719.388782	
1478.836688	2721.65547	
1583.103282	2721.654647	
1585.233752	2722.272048	
1583.917215	2722.689488	
1581.201561	2720.838057	
1586.370147	2718.872734	
1584.323965	2720.845719	
1581.698603	2720.357307	
1583.636012	2720.996043	
1583.937232	2718.928524	
