Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
2132.360791	840	2132.360791	nan	
2133.401946	839	2133.401946	nan	
2134.442933	839	2134.442933	nan	
2135.483749	839	2135.483749	nan	
2136.524397	838	2136.524397	nan	
2137.564875	839	2137.564875	nan	
2138.605183	839	2138.605183	nan	
2139.645323	838	2139.645323	nan	
2140.685293	839	2140.685293	nan	
2141.725094	839	2141.725094	nan	
2142.764725	840	2142.764725	nan	
2143.804188	839	2143.804188	nan	
2144.843481	839	2144.843481	nan	
2145.882605	838	2145.882605	nan	
2146.92156	839	2146.92156	nan	
2147.960346	839	2147.960346	nan	
2148.998963	842	2148.998963	nan	
2150.037411	841	2150.037411	nan	
2151.07569	838	2151.07569	nan	
2152.1138	838	2152.1138	nan	
2153.151741	839	2153.151741	nan	
2154.189513	840	2154.189513	nan	
2155.227116	839	2155.227116	nan	
2156.264551	838	2156.264551	nan	
2157.301817	837	2157.301817	nan	
2158.338913	840	2158.338913	nan	
2159.375842	840	2159.375842	nan	
2160.412601	838	2160.412601	nan	
2161.449192	839	2161.449192	nan	
2162.485614	839	2162.485614	nan	
2163.521868	840	2163.521868	nan	
2164.557952	838	2164.557952	nan	
2165.593869	837	2165.593869	nan	
2166.629617	839	2166.629617	nan	
2167.665196	839	2167.665196	nan	
2168.700607	839	2168.700607	nan	
2169.735849	839	2169.735849	nan	
2170.770923	840	2170.770923	nan	
2171.805829	839	2171.805829	nan	
2172.840566	839	2172.840566	nan	
2173.875135	839	2173.875135	nan	
2174.909536	838	2174.909536	nan	
2175.943768	838	2175.943768	nan	
2176.977833	839	2176.977833	nan	
2178.011728	838	2178.011728	nan	
2179.045456	839	2179.045456	nan	
2180.079016	838	2180.079016	nan	
2181.112407	839	2181.112407	nan	
2182.145631	842	2182.145631	nan	
2183.178686	839	2183.178686	nan	
2184.211574	837	2184.211574	nan	
2185.244293	838	2185.244293	nan	
2186.276845	839	2186.276845	nan	
2187.309228	838	2187.309228	nan	
2188.341444	839	2188.341444	nan	
2189.373491	838	2189.373491	nan	
2190.405371	840	2190.405371	nan	
2191.437083	839	2191.437083	nan	
2192.468627	838	2192.468627	nan	
2193.500004	839	2193.500004	nan	
2194.531213	838	2194.531213	nan	
2195.562254	840	2195.562254	nan	
2196.593127	840	2196.593127	nan	
2197.623833	839	2197.623833	nan	
2198.654371	840	2198.654371	nan	
2199.684742	838	2199.684742	nan	
2200.714945	838	2200.714945	nan	
2201.74498	839	2201.74498	nan	
2202.774848	838	2202.774848	nan	
2203.804549	840	2203.804549	nan	
2204.834082	838	2204.834082	nan	
2205.863448	840	2205.863448	nan	
2206.892646	839	2206.892646	nan	
2207.921677	839	2207.921677	nan	
2208.950541	837	2208.950541	nan	
2209.979237	839	2209.979237	nan	
2211.007766	839	2211.007766	nan	
2212.036128	840	2212.036128	nan	
2213.064323	838	2213.064323	nan	
2214.09235	840	2214.09235	nan	
2215.120211	839	2215.120211	nan	
2216.147904	839	2216.147904	nan	
2217.17543	837	2217.17543	nan	
2218.20279	839	2218.20279	nan	
2219.229982	838	2219.229982	nan	
2220.257007	839	2220.257007	nan	
2221.283865	840	2221.283865	nan	
2222.310556	839	2222.310556	nan	
2223.337081	837	2223.337081	nan	
2224.363438	837	2224.363438	nan	
2225.389629	839	2225.389629	nan	
2226.415653	840	2226.415653	nan	
2227.44151	837	2227.44151	nan	
2228.4672	839	2228.4672	nan	
2229.492724	839	2229.492724	nan	
2230.518081	838	2230.518081	nan	
2231.543271	840	2231.543271	nan	
2232.568295	838	2232.568295	nan	
2233.593152	839	2233.593152	nan	
2234.617842	838	2234.617842	nan	
2235.642366	839	2235.642366	nan	
2236.666724	839	2236.666724	nan	
2237.690914	839	2237.690914	nan	
2238.714939	838	2238.714939	nan	
2239.738797	838	2239.738797	nan	
2240.762489	840	2240.762489	nan	
2241.786014	839	2241.786014	nan	
2242.809373	838	2242.809373	nan	
2243.832565	837	2243.832565	nan	
2244.855592	838	2244.855592	nan	
2245.878452	840	2245.878452	nan	
2246.901145	837	2246.901145	nan	
2247.923673	839	2247.923673	nan	
2248.946034	841	2248.946034	nan	
2249.96823	838	2249.96823	nan	
2250.990259	839	2250.990259	nan	
2252.012122	839	2252.012122	nan	
2253.033819	839	2253.033819	nan	
2254.05535	838	2254.05535	nan	
2255.076715	839	2255.076715	nan	
2256.097914	838	2256.097914	nan	
2257.118948	840	2257.118948	nan	
2258.139815	837	2258.139815	nan	
2259.160516	839	2259.160516	nan	
2260.181052	838	2260.181052	nan	
2261.201422	839	2261.201422	nan	
2262.221626	839	2262.221626	nan	
2263.241664	838	2263.241664	nan	
2264.261536	839	2264.261536	nan	
2265.281243	840	2265.281243	nan	
2266.300784	841	2266.300784	nan	
2267.32016	837	2267.32016	nan	
2268.33937	838	2268.33937	nan	
2269.358414	839	2269.358414	nan	
2270.377293	839	2270.377293	nan	
2271.396006	839	2271.396006	nan	
2272.414554	840	2272.414554	nan	
2273.432936	840	2273.432936	nan	
2274.451153	838	2274.451153	nan	
2275.469204	838	2275.469204	nan	
2276.48709	839	2276.48709	nan	
2277.504811	841	2277.504811	nan	
2278.522366	838	2278.522366	nan	
2279.539756	838	2279.539756	nan	
