Raman shift DATA (1/cm)	CCD Counts DATA	Raman shift FIT (1/cm)	CCD Counts FIT
1684.17061	838	1684.17061	838.6805392	
1685.284946	838	1685.284946	838.679386	
1686.399099	840	1686.399099	838.678269	
1687.51307	838	1687.51307	838.6771868	
1688.626858	839	1688.626858	838.6761378	
1689.740464	837	1689.740464	838.6751208	
1690.853887	838	1690.853887	838.6741344	
1691.967129	839	1691.967129	838.6731775	
1693.080187	839	1693.080187	838.6722488	
1694.193064	839	1694.193064	838.6713474	
1695.305758	837	1695.305758	838.670472	
1696.41827	839	1696.41827	838.6696217	
1697.530599	840	1697.530599	838.6687957	
1698.642747	838	1698.642747	838.6679928	
1699.754712	840	1699.754712	838.6672124	
1700.866495	839	1700.866495	838.6664535	
1701.978096	838	1701.978096	838.6657155	
1703.089516	840	1703.089516	838.6649974	
1704.200753	839	1704.200753	838.6642987	
1705.311808	837	1705.311808	nan	
1706.422681	839	1706.422681	nan	
1707.533372	839	1707.533372	nan	
1708.643882	838	1708.643882	nan	
1709.754209	837	1709.754209	nan	
1710.864355	838	1710.864355	nan	
1711.974319	839	1711.974319	nan	
1713.084101	839	1713.084101	nan	
1714.193701	839	1714.193701	nan	
1715.30312	837	1715.30312	nan	
1716.412357	837	1716.412357	nan	
1717.521413	839	1717.521413	nan	
1718.630287	838	1718.630287	nan	
1719.738979	839	1719.738979	nan	
1720.84749	840	1720.84749	nan	
1721.955819	838	1721.955819	nan	
1723.063967	839	1723.063967	nan	
1724.171933	839	1724.171933	nan	
1725.279719	839	1725.279719	nan	
1726.387322	841	1726.387322	nan	
1727.494745	837	1727.494745	nan	
1728.601986	838	1728.601986	nan	
1729.709046	840	1729.709046	nan	
1730.815924	839	1730.815924	nan	
1731.922622	839	1731.922622	nan	
1733.029138	839	1733.029138	nan	
1734.135473	839	1734.135473	nan	
1735.241627	840	1735.241627	nan	
1736.3476	838	1736.3476	nan	
1737.453392	839	1737.453392	nan	
1738.559003	837	1738.559003	nan	
1739.664433	839	1739.664433	nan	
1740.769682	840	1740.769682	nan	
1741.87475	838	1741.87475	nan	
1742.979637	838	1742.979637	nan	
1744.084343	838	1744.084343	nan	
1745.188869	838	1745.188869	nan	
1746.293214	838	1746.293214	nan	
1747.397378	838	1747.397378	nan	
1748.501361	839	1748.501361	nan	
1749.605164	839	1749.605164	nan	
1750.708786	838	1750.708786	nan	
1751.812228	838	1751.812228	nan	
1752.915488	837	1752.915488	nan	
1754.018569	840	1754.018569	nan	
1755.121469	838	1755.121469	nan	
1756.224188	839	1756.224188	nan	
1757.326727	838	1757.326727	nan	
1758.429085	839	1758.429085	nan	
1759.531263	838	1759.531263	nan	
1760.633261	839	1760.633261	nan	
1761.735079	839	1761.735079	nan	
1762.836716	838	1762.836716	nan	
1763.938173	840	1763.938173	nan	
1765.039449	839	1765.039449	nan	
1766.140546	840	1766.140546	nan	
1767.241462	839	1767.241462	nan	
1768.342198	841	1768.342198	nan	
1769.442755	838	1769.442755	nan	
1770.543131	839	1770.543131	nan	
1771.643327	840	1771.643327	nan	
1772.743343	841	1772.743343	nan	
1773.843179	838	1773.843179	nan	
1774.942835	837	1774.942835	nan	
1776.042311	838	1776.042311	nan	
1777.141608	839	1777.141608	nan	
1778.240724	837	1778.240724	nan	
1779.339661	839	1779.339661	nan	
1780.438418	838	1780.438418	nan	
1781.536995	836	1781.536995	nan	
1782.635393	838	1782.635393	nan	
